과목,표준점수,남자인원,여자인원,전체인원
국어,150,34,30,64
국어,148,24,35,59
국어,147,98,63,161
국어,146,65,83,148
국어,145,160,117,277
국어,144,270,242,512
국어,143,271,214,485
국어,142,435,311,746
국어,141,458,428,886
국어,140,607,511,"1,118"
국어,139,564,457,"1,021"
국어,138,900,799,"1,699"
국어,137,772,738,"1,510"
국어,136,"1,161",987,"2,148"
국어,135,"1,242","1,044","2,286"
국어,134,"1,195","1,113","2,308"
국어,133,"1,370","1,217","2,587"
국어,132,"1,633","1,570","3,203"
국어,131,"1,793","1,564","3,357"
국어,130,"1,659","1,642","3,301"
국어,129,"2,185","2,157","4,342"
국어,128,"2,117","2,096","4,213"
국어,127,"2,460","2,282","4,742"
국어,126,"2,594","2,508","5,102"
국어,125,"2,277","2,250","4,527"
국어,124,"2,689","2,560","5,249"
국어,123,"2,933","2,928","5,861"
국어,122,"2,643","2,652","5,295"
국어,121,"2,921","2,862","5,783"
국어,120,"3,482","3,563","7,045"
국어,119,"3,374","3,390","6,764"
국어,118,"3,471","3,231","6,702"
국어,117,"3,442","3,556","6,998"
국어,116,"3,262","3,316","6,578"
국어,115,"3,768","3,840","7,608"
국어,114,"3,931","3,888","7,819"
국어,113,"3,325","3,378","6,703"
국어,112,"3,987","3,979","7,966"
국어,111,"4,106","4,194","8,300"
국어,110,"3,877","4,122","7,999"
국어,109,"3,987","4,012","7,999"
국어,108,"3,753","3,961","7,714"
국어,107,"3,755","4,061","7,816"
국어,106,"4,275","4,404","8,679"
국어,105,"4,003","4,090","8,093"
국어,104,"3,645","3,802","7,447"
국어,103,"4,405","4,607","9,012"
국어,102,"3,689","3,956","7,645"
국어,101,"3,951","4,046","7,997"
국어,100,"4,195","4,399","8,594"
국어,99,"3,542","3,592","7,134"
국어,98,"3,804","3,895","7,699"
국어,97,"4,112","4,285","8,397"
국어,96,"3,483","3,605","7,088"
국어,95,"3,781","3,821","7,602"
국어,94,"3,907","4,028","7,935"
국어,93,"3,333","3,401","6,734"
국어,92,"3,521","3,612","7,133"
국어,91,"3,691","3,856","7,547"
국어,90,"3,133","3,217","6,350"
국어,89,"3,325","3,509","6,834"
국어,88,"3,606","3,580","7,186"
국어,87,"2,982","2,899","5,881"
국어,86,"3,196","3,128","6,324"
국어,85,"3,365","3,081","6,446"
국어,84,"2,618","2,581","5,199"
국어,83,"2,951","2,865","5,816"
국어,82,"2,969","2,852","5,821"
국어,81,"2,440","2,375","4,815"
국어,80,"2,652","2,577","5,229"
국어,79,"2,702","2,533","5,235"
국어,78,"2,446","2,131","4,577"
