학교구분,학교명,본분교,지역,설립구분,도로명주소,지번주소,위도,경도,학교개교일
대학,국립강릉원주대학교,본교,강원,국립,강원특별자치도 강릉시 죽헌길 7,강원특별자치도 강릉시 지변동 123,37.76569493,128.8700048,1979-03-01
대학,국립강릉원주대학교,제2캠퍼스,강원,국립,강원특별자치도 원주시 흥업면 남원로 150,강원특별자치도 원주시 흥업면 흥업리 7,37.30517245,127.9221473,2007-03-01
대학,강원대학교,본교,강원,국립,강원특별자치도 춘천시 강원대학길 1,강원특별자치도 춘천시 효자동 192-1,37.86802431,127.7483874,1970-03-01
대학,강원대학교,제2캠퍼스,강원,국립,강원특별자치도 삼척시 중앙로 346,강원특별자치도 삼척시 교동 777,37.45079204,129.1599405,2006-03-01
대학,경북대학교,본교,대구,국립,대구광역시 북구 대학로 80,대구광역시 북구 산격동 1370-1,35.88909749,128.6143223,1946-05-28
대학,경상국립대학교,본교,경남,국립,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900,35.15671422,128.0980014,1910-04-30
대학,국립공주대학교,본교,충남,국립,충청남도 공주시 공주대학로 56,충청남도 공주시 신관동 182,36.46684834,127.1386693,1948-07-31
대학,국립군산대학교,본교,전북,국립,전북특별자치도 군산시 대학로 558,전북특별자치도 군산시 미룡동 290-2,35.95034571,126.6803568,1979-01-18
대학,국립금오공과대학교,본교,경북,국립,경상북도 구미시 대학로 61,경상북도 구미시 양호동 1,36.14563154,128.3878819,1980-03-01
대학,국립목포대학교,본교,전남,국립,전라남도 무안군 청계면 영산로 1666,전라남도 무안군 청계면 도림리 61,34.91030656,126.4402102,1946-10-31
대학,국립목포해양대학교,본교,전남,국립,전라남도 목포시 해양대학로 91,전라남도 목포시 죽교동 562-84,34.78996375,126.3658262,1993-03-01
대학,국립부경대학교,본교,부산,국립,부산광역시 남구 용소로 45,부산광역시 남구 대연동 430-1,35.13116783,129.1048238,1996-07-06
대학,부산대학교,본교,부산,국립,부산광역시 금정구 부산대학로63번길 2,부산광역시 금정구 장전동 40,35.2322428,129.0838245,1946-05-15
대학,서울대학교,본교,서울,국립대법인,서울특별시 관악구 관악로 1,서울특별시 관악구 신림동 산 56-1,37.46803806,126.9592943,1946-08-22
대학,국립순천대학교,본교,전남,국립,전라남도 순천시 중앙로 255,전라남도 순천시 석현동 313,34.96676128,127.4809231,1982-03-10
대학,국립안동대학교,본교,경북,국립,경상북도 안동시 경동로 1375,경상북도 안동시 송천동 388,36.5414385,128.797564,1979-03-12
